Origin,Destination,Date,Departure,Arrival,Duration,Changes,Single Price,Return Price,Status,direction,link
BFD,RYE,27072019,08:24,10:46,02:22,3,44.0,44.5,OK,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/RYE/270719/0700/dep/270719/1830/dep
BFD,RYE,27072019,08:54,11:45,02:51,2,37.9,38.1,OK,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/RYE/270719/0700/dep/270719/1830/dep
BFD,RYE,27072019,09:24,11:46,02:22,3,44.0,44.5,OK,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/RYE/270719/0700/dep/270719/1830/dep
RYE,BFD,27072019,18:47,21:07,02:20,3,44.0,44.5,OK,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/RYE/270719/0700/dep/270719/1830/dep
RYE,BFD,27072019,18:47,21:52,03:05,2,37.9,38.1,OK,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/RYE/270719/0700/dep/270719/1830/dep
RYE,BFD,27072019,19:47,22:07,02:20,3,44.0,44.5,OK,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/RYE/270719/0700/dep/270719/1830/dep
RYE,BFD,27072019,19:47,22:52,03:05,2,37.9,38.1,OK,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/RYE/270719/0700/dep/270719/1830/dep
RYE,BFD,27072019,20:47,23:22,02:35,3,44.0,44.5,OK,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/RYE/270719/0700/dep/270719/1830/dep
BFD,DVP,27072019,07:24,09:41,02:17,2,46.4,46.5,OK,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/DVP/270719/0700/dep/270719/1830/dep
BFD,DVP,27072019,07:54,10:33,02:39,3,46.4,46.5,OK,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/DVP/270719/0700/dep/270719/1830/dep
BFD,DVP,27072019,08:24,10:41,02:17,2,46.4,46.5,OK,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/DVP/270719/0700/dep/270719/1830/dep
BFD,DVP,27072019,08:54,11:33,02:39,3,46.4,46.5,OK,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/DVP/270719/0700/dep/270719/1830/dep
BFD,DVP,27072019,09:24,11:41,02:17,2,46.4,46.5,OK,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/DVP/270719/0700/dep/270719/1830/dep
DVP,BFD,27072019,18:49,21:07,02:18,2,46.4,46.5,OK,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/DVP/270719/0700/dep/270719/1830/dep
DVP,BFD,27072019,18:58,21:37,02:39,3,46.4,46.5,OK,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/DVP/270719/0700/dep/270719/1830/dep
DVP,BFD,27072019,18:58,21:52,02:54,2,40.1,46.5,OK,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/DVP/270719/0700/dep/270719/1830/dep
DVP,BFD,27072019,19:49,22:07,02:18,2,46.4,46.5,OK,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/DVP/270719/0700/dep/270719/1830/dep
DVP,BFD,27072019,19:58,22:52,02:54,2,40.1,46.5,OK,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/DVP/270719/0700/dep/270719/1830/dep
BFD,NRW,27072019,07:24,10:50,03:26,2,27.6,62.5,OK,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/NRW/270719/0700/dep/270719/1830/dep
BFD,NRW,27072019,08:09,11:27,03:18,2,27.6,62.5,OK,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/NRW/270719/0700/dep/270719/1830/dep
BFD,NRW,27072019,08:24,11:50,03:26,2,27.6,62.5,OK,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/NRW/270719/0700/dep/270719/1830/dep
