Origin,Destination,Date,Price
BFD,NRW,08-09-2019,62.5
BFD,NRW,14-09-2019,31.8
BFD,NRW,15-09-2019,62.5
BFD,NRW,21-09-2019,62.5
BFD,NRW,22-09-2019,62.5
BFD,RYE,17-06-2019,45.4
BFD,RYE,18-06-2019,45.4
BFD,RYE,19-06-2019,45.4
BFD,RYE,20-06-2019,45.4
BFD,RYE,21-06-2019,45.4
BFD,RYE,22-06-2019,38.1
BFD,RYE,23-06-2019,38.1
BFD,RYE,24-06-2019,45.4
BFD,RYE,25-06-2019,45.4
BFD,RYE,26-06-2019,45.4
BFD,RYE,27-06-2019,45.4
BFD,RYE,28-06-2019,45.4
BFD,RYE,29-06-2019,38.1
BFD,RYE,30-06-2019,38.1
BFD,RYE,01-07-2019,45.4
BFD,RYE,02-07-2019,45.4
BFD,RYE,03-07-2019,45.4
BFD,RYE,04-07-2019,45.4
BFD,RYE,05-07-2019,45.4
BFD,RYE,06-07-2019,38.1
BFD,RYE,07-07-2019,38.1
BFD,RYE,08-07-2019,45.4
BFD,RYE,09-07-2019,45.4
BFD,RYE,10-07-2019,45.4
BFD,RYE,11-07-2019,45.4
BFD,RYE,12-07-2019,45.4
BFD,RYE,13-07-2019,38.1
BFD,RYE,14-07-2019,38.1
BFD,RYE,15-07-2019,45.4
BFD,RYE,16-07-2019,45.4
BFD,RYE,17-07-2019,45.4
BFD,RYE,18-07-2019,45.4
BFD,RYE,19-07-2019,45.4
BFD,RYE,20-07-2019,38.1
BFD,RYE,21-07-2019,38.1
BFD,RYE,22-07-2019,45.4
BFD,RYE,23-07-2019,45.4
BFD,RYE,24-07-2019,45.4
BFD,RYE,25-07-2019,45.4
BFD,RYE,26-07-2019,45.4
BFD,RYE,27-07-2019,38.1
BFD,RYE,28-07-2019,38.1
BFD,RYE,29-07-2019,45.4
BFD,RYE,30-07-2019,45.4
BFD,RYE,31-07-2019,45.4
BFD,RYE,01-08-2019,45.4
BFD,RYE,02-08-2019,45.4
BFD,RYE,03-08-2019,38.1
BFD,RYE,04-08-2019,38.1
BFD,RYE,05-08-2019,45.4
BFD,RYE,06-08-2019,45.4
BFD,RYE,07-08-2019,45.4
BFD,RYE,08-08-2019,45.4
BFD,RYE,09-08-2019,45.4
BFD,RYE,10-08-2019,38.1
